bubbleSortPassPerItem, Character, sorted, 124095005934370, 124095008393235, 2458865
bubbleSortPassPerItem, Character, sorted, 124095008417982, 124095010896662, 2478680
bubbleSortPassPerItem, Character, sorted, 124095010936868, 124095013793845, 2856977
bubbleSortPassPerItem, Character, sorted, 124095013839373, 124095016769292, 2929919
bubbleSortPassPerItem, Character, sorted, 124095016816677, 124095019605849, 2789172
bubbleSortPassPerItem, Character, sorted, 124095019663165, 124095022331966, 2668801
bubbleSortPassPerItem, Character, sorted, 124095022417262, 124095025188646, 2771384
bubbleSortPassPerItem, Character, sorted, 124095025330336, 124095028771589, 3441253
bubbleSortPassPerItem, Character, sorted, 124095028828156, 124095032045360, 3217204
bubbleSortPassPerItem, Character, sorted, 124095032126519, 124095035112204, 2985685
bubbleSortPassPerItem, Character, sorted, 124095035148254, 124095037997748, 2849494
bubbleSortPassPerItem, Character, sorted, 124095038036741, 124095040847683, 2810942
bubbleSortPassPerItem, Character, sorted, 124095040882758, 124095043428323, 2545565
bubbleSortPassPerItem, Character, sorted, 124095043453003, 124095046072875, 2619872
bubbleSortPassPerItem, Character, sorted, 124095046140836, 124095048638192, 2497356
bubbleSortPassPerItem, Character, partSorted, 124095122306990, 124095125434230, 3127240
bubbleSortPassPerItem, Character, partSorted, 124095125568656, 124095127947533, 2378877
bubbleSortPassPerItem, Character, partSorted, 124095127976074, 124095130489813, 2513739
bubbleSortPassPerItem, Character, partSorted, 124095130516159, 124095133496986, 2980827
bubbleSortPassPerItem, Character, partSorted, 124095133641128, 124095137959630, 4318502
bubbleSortPassPerItem, Character, partSorted, 124095138135463, 124095142921906, 4786443
bubbleSortPassPerItem, Character, partSorted, 124095143154726, 124095146085317, 2930591
bubbleSortPassPerItem, Character, partSorted, 124095146249549, 124095149457113, 3207564
bubbleSortPassPerItem, Character, partSorted, 124095149531579, 124095153196937, 3665358
bubbleSortPassPerItem, Character, partSorted, 124095153330749, 124095156984341, 3653592
bubbleSortPassPerItem, Character, partSorted, 124095157041694, 124095160447096, 3405402
bubbleSortPassPerItem, Character, partSorted, 124095160484011, 124095163558474, 3074463
bubbleSortPassPerItem, Character, partSorted, 124095163599878, 124095166562036, 2962158
bubbleSortPassPerItem, Character, partSorted, 124095166591677, 124095169755085, 3163408
bubbleSortPassPerItem, Character, partSorted, 124095169798198, 124095172821427, 3023229
bubbleSortPassPerItem, Character, partSorted, 124095172856709, 124095175728911, 2872202
bubbleSortPassPerItem, Character, partSorted, 124095175830782, 124095178563911, 2733129
bubbleSortPassPerItem, Character, partSorted, 124095178596484, 124095181576179, 2979695
bubbleSortPassPerItem, Character, partSorted, 124095181628909, 124095184442278, 2813369
bubbleSortPassPerItem, Character, partSorted, 124095184502667, 124095187667353, 3164686
bubbleSortPassPerItem, Character, partSorted, 124095187724416, 124095190308433, 2584017
bubbleSortPassPerItem, Character, partSorted, 124095190339779, 124095192834771, 2494992
bubbleSortPassPerItem, Character, partSorted, 124095192859471, 124095195659364, 2799893
bubbleSortPassPerItem, Character, partSorted, 124095195706896, 124095199153544, 3446648
bubbleSortPassPerItem, Character, partSorted, 124095199190957, 124095202482621, 3291664
bubbleSortPassPerItem, Character, partSorted, 124095202526764, 124095205785748, 3258984
bubbleSortPassPerItem, Character, partSorted, 124095205824998, 124095208688668, 2863670
bubbleSortPassPerItem, Character, partSorted, 124095208724073, 124095211619978, 2895905
bubbleSortPassPerItem, Character, partSorted, 124095211657270, 124095214268417, 2611147
bubbleSortPassPerItem, Character, partSorted, 124095214297472, 124095216859103, 2561631
bubbleSortPassPerItem, Character, partSorted, 124095216883676, 124095220071357, 3187681
bubbleSortPassPerItem, Character, partSorted, 124095220157039, 124095222572074, 2415035
bubbleSortPassPerItem, Character, partSorted, 124095222609794, 124095225317361, 2707567
bubbleSortPassPerItem, Character, partSorted, 124095225366609, 124095228377131, 3010522
bubbleSortPassPerItem, Character, partSorted, 124095228417885, 124095231194751, 2776866
bubbleSortPassPerItem, Character, partSorted, 124095231220715, 124095234303729, 3083014
bubbleSortPassPerItem, Character, partSorted, 124095234356367, 124095237766274, 3409907
bubbleSortPassPerItem, Character, partSorted, 124095237810812, 124095240831348, 3020536
bubbleSortPassPerItem, Character, partSorted, 124095240871539, 124095243738994, 2867455
bubbleSortPassPerItem, Character, partSorted, 124095243775529, 124095246459127, 2683598
bubbleSortPassPerItem, Character, partSorted, 124095246483947, 124095249047178, 2563231
bubbleSortPassPerItem, Character, partSorted, 124095249083535, 124095252123963, 3040428
bubbleSortPassPerItem, Character, partSorted, 124095252192322, 124095254917238, 2724916
bubbleSortPassPerItem, Character, partSorted, 124095254940877, 124095257505250, 2564373
bubbleSortPassPerItem, Character, partSorted, 124095257534503, 124095260596739, 3062236
bubbleSortPassPerItem, Character, partSorted, 124095260627615, 124095262997773, 2370158
bubbleSortPassPerItem, Character, partSorted, 124095263019904, 124095265468839, 2448935
bubbleSortPassPerItem, Character, partSorted, 124095265492070, 124095268564262, 3072192
bubbleSortPassPerItem, Character, partSorted, 124095268618537, 124095271312456, 2693919
bubbleSortPassPerItem, Character, partSorted, 124095271364122, 124095274324071, 2959949
bubbleSortPassPerItem, Character, partSorted, 124095274369153, 124095277860557, 3491404
bubbleSortPassPerItem, Character, partSorted, 124095277907837, 124095281277864, 3370027
bubbleSortPassPerItem, Character, partSorted, 124095281315173, 124095284649589, 3334416
bubbleSortPassPerItem, Character, partSorted, 124095284700961, 124095287649758, 2948797
bubbleSortPassPerItem, Character, partSorted, 124095287706749, 124095290599016, 2892267
bubbleSortPassPerItem, Character, partSorted, 124095290634464, 124095293716960, 3082496
bubbleSortPassPerItem, Character, partSorted, 124095293759003, 124095296427992, 2668989
bubbleSortPassPerItem, Character, partSorted, 124095296471666, 124095300106134, 3634468
bubbleSortPassPerItem, Character, partSorted, 124095300148124, 124095302705186, 2557062
bubbleSortPassPerItem, Character, partSorted, 124095302743346, 124095305805181, 3061835
bubbleSortPassPerItem, Character, partSorted, 124095305832253, 124095308840048, 3007795
bubbleSortPassPerItem, Character, partSorted, 124095308872215, 124095311315830, 2443615
bubbleSortPassPerItem, Character, partSorted, 124095311342592, 124095313853994, 2511402
bubbleSortPassPerItem, Character, partSorted, 124095313876578, 124095317032137, 3155559
bubbleSortPassPerItem, Character, partSorted, 124095317072352, 124095320323700, 3251348
bubbleSortPassPerItem, Character, partSorted, 124095320371260, 124095323278502, 2907242
bubbleSortPassPerItem, Character, partSorted, 124095323390199, 124095326278505, 2888306
bubbleSortPassPerItem, Character, partSorted, 124095326307758, 124095328979208, 2671450
bubbleSortPassPerItem, Character, partSorted, 124095329008592, 124095331827903, 2819311
bubbleSortPassPerItem, Character, partSorted, 124095331856261, 124095334416821, 2560560
bubbleSortPassPerItem, Character, partSorted, 124095334448886, 124095337384348, 2935462
bubbleSortPassPerItem, Character, partSorted, 124095337408884, 124095340398440, 2989556
bubbleSortPassPerItem, Character, partSorted, 124095340430233, 124095342815749, 2385516
bubbleSortPassPerItem, Character, partSorted, 124095342836726, 124095345333296, 2496570
