bubbleSortPassPerItem, Byte, partSorted, 124245865961256, 124245869285025, 3323769
bubbleSortPassPerItem, Byte, partSorted, 124245869333385, 124245872661293, 3327908
bubbleSortPassPerItem, Byte, partSorted, 124245872696856, 124245875889824, 3192968
bubbleSortPassPerItem, Byte, partSorted, 124245875925228, 124245879051282, 3126054
bubbleSortPassPerItem, Byte, partSorted, 124245879080716, 124245882184649, 3103933
bubbleSortPassPerItem, Byte, partSorted, 124245882213253, 124245885581409, 3368156
bubbleSortPassPerItem, Byte, partSorted, 124245885613447, 124245888928642, 3315195
bubbleSortPassPerItem, Byte, partSorted, 124245888965965, 124245892177936, 3211971
bubbleSortPassPerItem, Byte, partSorted, 124245892209354, 124245895263828, 3054474
bubbleSortPassPerItem, Byte, partSorted, 124245895288730, 124245898348786, 3060056
bubbleSortPassPerItem, Byte, partSorted, 124245898380085, 124245901570706, 3190621
bubbleSortPassPerItem, Byte, partSorted, 124245901601371, 124245905200357, 3598986
bubbleSortPassPerItem, Byte, partSorted, 124245905264897, 124245909756515, 4491618
bubbleSortPassPerItem, Byte, partSorted, 124245909858116, 124245913076507, 3218391
bubbleSortPassPerItem, Byte, partSorted, 124245913123265, 124245916456442, 3333177
bubbleSortPassPerItem, Byte, partSorted, 124245916496596, 124245920097090, 3600494
bubbleSortPassPerItem, Byte, partSorted, 124245920184524, 124245923608976, 3424452
bubbleSortPassPerItem, Byte, partSorted, 124245923658853, 124245926988475, 3329622
bubbleSortPassPerItem, Byte, partSorted, 124245927020765, 124245930255178, 3234413
bubbleSortPassPerItem, Byte, partSorted, 124245930287511, 124245933605882, 3318371
bubbleSortPassPerItem, Byte, partSorted, 124245933646234, 124245936996048, 3349814
bubbleSortPassPerItem, Byte, partSorted, 124245937045172, 124245940598623, 3553451
bubbleSortPassPerItem, Byte, partSorted, 124245940647614, 124245943786951, 3139337
bubbleSortPassPerItem, Byte, partSorted, 124245943893149, 124245947185875, 3292726
bubbleSortPassPerItem, Byte, partSorted, 124245947237371, 124245950722785, 3485414
bubbleSortPassPerItem, Byte, partSorted, 124245950776140, 124245954894514, 4118374
bubbleSortPassPerItem, Byte, partSorted, 124245955051579, 124245958547948, 3496369
bubbleSortPassPerItem, Byte, partSorted, 124245958648352, 124245961898470, 3250118
bubbleSortPassPerItem, Byte, partSorted, 124245961944269, 124245965359178, 3414909
bubbleSortPassPerItem, Byte, partSorted, 124245965408226, 124245969201359, 3793133
bubbleSortPassPerItem, Byte, partSorted, 124245969255998, 124245972634302, 3378304
bubbleSortPassPerItem, Byte, partSorted, 124245972679168, 124245975842750, 3163582
bubbleSortPassPerItem, Byte, partSorted, 124245975878756, 124245979133492, 3254736
