bubbleSortPassPerItem, int, sorted, 122737586019040, 122737589902793, 3883753
bubbleSortPassPerItem, int, sorted, 122737589992793, 122737593402333, 3409540
bubbleSortPassPerItem, int, sorted, 122737593496909, 122737597157849, 3660940
bubbleSortPassPerItem, int, sorted, 122737597223272, 122737600818647, 3595375
bubbleSortPassPerItem, int, sorted, 122737600932121, 122737605211709, 4279588
bubbleSortPassPerItem, int, sorted, 122737605332816, 122737608727124, 3394308
bubbleSortPassPerItem, int, sorted, 122737608778216, 122737612274945, 3496729
bubbleSortPassPerItem, int, sorted, 122737612341730, 122737615589891, 3248161
bubbleSortPassPerItem, int, sorted, 122737615632325, 122737619939485, 4307160
bubbleSortPassPerItem, int, sorted, 122737620150823, 122737623714651, 3563828
bubbleSortPassPerItem, int, sorted, 122737623900677, 122737627707172, 3806495
bubbleSortPassPerItem, int, sorted, 122737627873677, 122737631394086, 3520409
bubbleSortPassPerItem, int, sorted, 122737631466547, 122737635079886, 3613339
bubbleSortPassPerItem, int, sorted, 122737635174098, 122737639032503, 3858405
bubbleSortPassPerItem, int, sorted, 122737639214600, 122737642602020, 3387420
bubbleSortPassPerItem, int, sorted, 122737642694467, 122737646161592, 3467125
bubbleSortPassPerItem, int, sorted, 122737646219412, 122737649520012, 3300600
bubbleSortPassPerItem, int, sorted, 122737649560228, 122737653708428, 4148200
bubbleSortPassPerItem, int, sorted, 122737653807165, 122737657276684, 3469519
bubbleSortPassPerItem, int, sorted, 122737657377135, 122737660837160, 3460025
bubbleSortPassPerItem, int, sorted, 122737660897896, 122737664214851, 3316955
bubbleSortPassPerItem, int, sorted, 122737664258884, 122737668240865, 3981981
bubbleSortPassPerItem, int, sorted, 122737668445679, 122737671837046, 3391367
bubbleSortPassPerItem, int, sorted, 122737671938883, 122737675303206, 3364323
bubbleSortPassPerItem, int, sorted, 122737675362703, 122737679463322, 4100619
bubbleSortPassPerItem, int, sorted, 122737679557351, 122737682790377, 3233026
bubbleSortPassPerItem, int, sorted, 122737682850298, 122737687446678, 4596380
bubbleSortPassPerItem, int, sorted, 122737687566899, 122737691263499, 3696600
bubbleSortPassPerItem, int, sorted, 122737691378672, 122737694835322, 3456650
