bubbleSortPassPerItem, int, sorted, 126589449039177, 126589795746998, 346707821
bubbleSortPassPerItem, int, sorted, 126589795911068, 126590146531739, 350620671
bubbleSortPassPerItem, int, sorted, 126590146740239, 126590494959688, 348219449
bubbleSortPassPerItem, int, sorted, 126590495101294, 126590841973272, 346871978
bubbleSortPassPerItem, int, sorted, 126590842112001, 126591192161647, 350049646
bubbleSortPassPerItem, int, sorted, 126591192290795, 126591540574443, 348283648
bubbleSortPassPerItem, int, sorted, 126591540703652, 126591889668578, 348964926
bubbleSortPassPerItem, int, sorted, 126591889796707, 126592243477131, 353680424
bubbleSortPassPerItem, int, sorted, 126592243615191, 126592594408131, 350792940
bubbleSortPassPerItem, int, sorted, 126592594546694, 126592943286001, 348739307
bubbleSortPassPerItem, int, sorted, 126592943415964, 126593295856645, 352440681
bubbleSortPassPerItem, int, sorted, 126593296041227, 126593642034691, 345993464
bubbleSortPassPerItem, int, sorted, 126593642162731, 126593995636011, 353473280
bubbleSortPassPerItem, int, sorted, 126593995853015, 126594369545203, 373692188
bubbleSortPassPerItem, int, sorted, 126594369694052, 126594721623862, 351929810
bubbleSortPassPerItem, int, sorted, 126594721742992, 126595072166455, 350423463
bubbleSortPassPerItem, int, sorted, 126595072303860, 126595424573980, 352270120
bubbleSortPassPerItem, int, sorted, 126595424686599, 126595776212857, 351526258
bubbleSortPassPerItem, int, sorted, 126595776319854, 126596125038646, 348718792
bubbleSortPassPerItem, int, sorted, 126596125162842, 126596477468991, 352306149
bubbleSortPassPerItem, int, sorted, 126596477583115, 126596827848299, 350265184
bubbleSortPassPerItem, int, sorted, 126596827961231, 126597178126702, 350165471
bubbleSortPassPerItem, int, sorted, 126597178239582, 126597532227932, 353988350
bubbleSortPassPerItem, int, sorted, 126597532402568, 126597882324222, 349921654
bubbleSortPassPerItem, int, sorted, 126597882436884, 126598233163556, 350726672
bubbleSortPassPerItem, int, sorted, 126598233331579, 126598585478270, 352146691
bubbleSortPassPerItem, int, sorted, 126598585626650, 126598936640747, 351014097
bubbleSortPassPerItem, int, sorted, 126598936782843, 126599300331135, 363548292
bubbleSortPassPerItem, int, sorted, 126599300556193, 126599649014953, 348458760
bubbleSortPassPerItem, int, sorted, 126599649156661, 126599994493177, 345336516
