bubbleSortPassPerItem, Double, partSorted, 128878999704900, 128879367281695, 367576795
bubbleSortPassPerItem, Double, partSorted, 128879367398401, 128879712315111, 344916710
bubbleSortPassPerItem, Double, partSorted, 128879712437124, 128880048288219, 335851095
bubbleSortPassPerItem, Double, partSorted, 128880048400978, 128880408965121, 360564143
bubbleSortPassPerItem, Double, partSorted, 128880409076325, 128880765578187, 356501862
bubbleSortPassPerItem, Double, partSorted, 128880765674222, 128881124007087, 358332865
bubbleSortPassPerItem, Double, partSorted, 128881124170195, 128881482764408, 358594213
bubbleSortPassPerItem, Double, partSorted, 128881482862994, 128881840162468, 357299474
bubbleSortPassPerItem, Double, partSorted, 128881840259542, 128882196525606, 356266064
bubbleSortPassPerItem, Double, partSorted, 128882196656529, 128882553940534, 357284005
bubbleSortPassPerItem, Double, partSorted, 128882554035862, 128882908366743, 354330881
bubbleSortPassPerItem, Double, partSorted, 128882908477834, 128883265094237, 356616403
bubbleSortPassPerItem, Double, partSorted, 128883265223012, 128883622776147, 357553135
bubbleSortPassPerItem, Double, partSorted, 128883622890339, 128883980311417, 357421078
bubbleSortPassPerItem, Double, partSorted, 128883980524695, 128884356472766, 375948071
bubbleSortPassPerItem, Double, partSorted, 128884356603368, 128884720148645, 363545277
bubbleSortPassPerItem, Double, partSorted, 128884720245959, 128885083998630, 363752671
bubbleSortPassPerItem, Double, partSorted, 128885084124489, 128885450276460, 366151971
bubbleSortPassPerItem, Double, partSorted, 128885450452277, 128885819150144, 368697867
bubbleSortPassPerItem, Double, partSorted, 128885819263544, 128886186410717, 367147173
bubbleSortPassPerItem, Double, partSorted, 128886186525740, 128886549380219, 362854479
bubbleSortPassPerItem, Double, partSorted, 128886549488252, 128886913108702, 363620450
bubbleSortPassPerItem, Double, partSorted, 128886913219019, 128887275915240, 362696221
bubbleSortPassPerItem, Double, partSorted, 128887275991812, 128887638296642, 362304830
bubbleSortPassPerItem, Double, partSorted, 128887638397706, 128888007944100, 369546394
bubbleSortPassPerItem, Double, partSorted, 128888008054570, 128888370927294, 362872724
bubbleSortPassPerItem, Double, partSorted, 128888371032766, 128888733149451, 362116685
bubbleSortPassPerItem, Double, partSorted, 128888733261894, 128889096986622, 363724728
bubbleSortPassPerItem, Double, partSorted, 128889097111957, 128889465006190, 367894233
bubbleSortPassPerItem, Double, partSorted, 128889465107988, 128889827762389, 362654401
bubbleSortPassPerItem, Double, partSorted, 128889827859122, 128890191212363, 363353241
bubbleSortPassPerItem, Double, partSorted, 128890191318853, 128890555432540, 364113687
bubbleSortPassPerItem, Double, partSorted, 128890555546666, 128890919175507, 363628841
bubbleSortPassPerItem, Double, partSorted, 128890919296121, 128891283706067, 364409946
