bubbleSortPassPerItem, Character, sorted, 129505512426192, 129505840264861, 327838669
bubbleSortPassPerItem, Character, sorted, 129505840368383, 129506168969412, 328601029
bubbleSortPassPerItem, Character, sorted, 129506169081608, 129506496944465, 327862857
bubbleSortPassPerItem, Character, sorted, 129506497057403, 129506824953362, 327895959
bubbleSortPassPerItem, Character, sorted, 129506825058981, 129507153464261, 328405280
bubbleSortPassPerItem, Character, sorted, 129507153572168, 129507481828018, 328255850
bubbleSortPassPerItem, Character, sorted, 129507481959436, 129507809982460, 328023024
bubbleSortPassPerItem, Character, sorted, 129507810084518, 129508138495721, 328411203
bubbleSortPassPerItem, Character, sorted, 129508138598800, 129508467111395, 328512595
bubbleSortPassPerItem, Character, sorted, 129508467231435, 129508795047965, 327816530
bubbleSortPassPerItem, Character, sorted, 129508795157768, 129509123354021, 328196253
bubbleSortPassPerItem, Character, sorted, 129509123474162, 129509457620701, 334146539
bubbleSortPassPerItem, Character, sorted, 129509457735815, 129509785740806, 328004991
bubbleSortPassPerItem, Character, sorted, 129509785851944, 129510113661277, 327809333
bubbleSortPassPerItem, Character, sorted, 129510113831115, 129510442186217, 328355102
bubbleSortPassPerItem, Character, sorted, 129510442296345, 129510770189849, 327893504
bubbleSortPassPerItem, Character, sorted, 129510770316270, 129511098382600, 328066330
bubbleSortPassPerItem, Character, sorted, 129511098525733, 129511427020670, 328494937
bubbleSortPassPerItem, Character, sorted, 129511427125043, 129511755076964, 327951921
bubbleSortPassPerItem, Character, sorted, 129511755188677, 129512083389957, 328201280
bubbleSortPassPerItem, Character, sorted, 129512083511657, 129512412018820, 328507163
bubbleSortPassPerItem, Character, sorted, 129512412130339, 129512742540577, 330410238
bubbleSortPassPerItem, Character, sorted, 129512742646994, 129513072753044, 330106050
bubbleSortPassPerItem, Character, sorted, 129513072868409, 129513402727266, 329858857
bubbleSortPassPerItem, Character, sorted, 129513402857672, 129513732769840, 329912168
