bubbleSortPassPerItem, Byte, partSorted, 130007208082720, 130007528204494, 320121774
bubbleSortPassPerItem, Byte, partSorted, 130007528302556, 130007848417216, 320114660
bubbleSortPassPerItem, Byte, partSorted, 130007848557622, 130008167733877, 319176255
bubbleSortPassPerItem, Byte, partSorted, 130008167829478, 130008487037900, 319208422
bubbleSortPassPerItem, Byte, partSorted, 130008487123839, 130008806378931, 319255092
bubbleSortPassPerItem, Byte, partSorted, 130008806474447, 130009125664602, 319190155
bubbleSortPassPerItem, Byte, partSorted, 130009125767077, 130009448188355, 322421278
bubbleSortPassPerItem, Byte, partSorted, 130009448300843, 130009767625825, 319324982
bubbleSortPassPerItem, Byte, partSorted, 130009767740433, 130010086841230, 319100797
bubbleSortPassPerItem, Byte, partSorted, 130010086941204, 130010406378529, 319437325
bubbleSortPassPerItem, Byte, partSorted, 130010406508856, 130010726362533, 319853677
bubbleSortPassPerItem, Byte, partSorted, 130010726462859, 130011052601272, 326138413
bubbleSortPassPerItem, Byte, partSorted, 130011052720159, 130011372528152, 319807993
bubbleSortPassPerItem, Byte, partSorted, 130011372639430, 130011693194418, 320554988
bubbleSortPassPerItem, Byte, partSorted, 130011693305329, 130012012781014, 319475685
bubbleSortPassPerItem, Byte, partSorted, 130012012885552, 130012332079621, 319194069
bubbleSortPassPerItem, Byte, partSorted, 130012332188760, 130012651253571, 319064811
bubbleSortPassPerItem, Byte, partSorted, 130012651365015, 130012970480585, 319115570
bubbleSortPassPerItem, Byte, partSorted, 130012970594623, 130013289804845, 319210222
bubbleSortPassPerItem, Byte, partSorted, 130013289897755, 130013609165620, 319267865
bubbleSortPassPerItem, Byte, partSorted, 130013609327783, 130013928441612, 319113829
bubbleSortPassPerItem, Byte, partSorted, 130013928529168, 130014248713327, 320184159
bubbleSortPassPerItem, Byte, partSorted, 130014248803411, 130014569450747, 320647336
bubbleSortPassPerItem, Byte, partSorted, 130014569565323, 130014889283506, 319718183
bubbleSortPassPerItem, Byte, partSorted, 130014889433772, 130015208834474, 319400702
bubbleSortPassPerItem, Byte, partSorted, 130015208958453, 130015528209260, 319250807
bubbleSortPassPerItem, Byte, partSorted, 130015528346819, 130015847472026, 319125207
bubbleSortPassPerItem, Byte, partSorted, 130015847577178, 130016166730740, 319153562
bubbleSortPassPerItem, Byte, partSorted, 130016166920289, 130016486457184, 319536895
bubbleSortPassPerItem, Byte, partSorted, 130016486576233, 130016820813333, 334237100
bubbleSortPassPerItem, Byte, partSorted, 130016820921174, 130017140107630, 319186456
bubbleSortPassPerItem, Byte, partSorted, 130017140217156, 130017459512330, 319295174
bubbleSortPassPerItem, Byte, partSorted, 130017459613782, 130017778806134, 319192352
bubbleSortPassPerItem, Byte, partSorted, 130017778916836, 130018098143847, 319227011
bubbleSortPassPerItem, Byte, partSorted, 130018098254208, 130018417460292, 319206084
bubbleSortPassPerItem, Byte, partSorted, 130018417552476, 130018736607973, 319055497
bubbleSortPassPerItem, Byte, partSorted, 130018736714214, 130019055868566, 319154352
bubbleSortPassPerItem, Byte, partSorted, 130019055969840, 130019376536844, 320567004
bubbleSortPassPerItem, Byte, partSorted, 130019376655053, 130019702956680, 326301627
bubbleSortPassPerItem, Byte, partSorted, 130019703098538, 130020028051242, 324952704
bubbleSortPassPerItem, Byte, partSorted, 130020028156352, 130020348100518, 319944166
bubbleSortPassPerItem, Byte, partSorted, 130020348208093, 130020668101968, 319893875
bubbleSortPassPerItem, Byte, partSorted, 130020668207999, 130020988188577, 319980578
bubbleSortPassPerItem, Byte, partSorted, 130020988300514, 130021308018214, 319717700
bubbleSortPassPerItem, Byte, partSorted, 130021308130821, 130021628476843, 320346022
bubbleSortPassPerItem, Byte, partSorted, 130021628598223, 130021948523704, 319925481
